name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
Sushi Momo Végétalien,"We-Th, Su 15:00-22:00; Fr-Sa 15:00-22:30",restaurant,,,,,,,,POINT (-73.5695372 45.5180316)
L'Evidence,Su-Mo 08:00-17:00; Tu-Sa 08:00-22:00,restaurant,,,,,,,,POINT (-73.5728541 45.5195642)
Scotch & Scissors,"Tu-We 12:00-19:00; Th,Fr 12:-00-21:00; Sa 12:00-18:00",,,hairdresser,,,,,,POINT (-73.57259689999999 45.519471)
Pamika,We-Su 17:30-23:00,restaurant,,,,,,,,POINT (-73.56629479999999 45.5201053)
Bagatelle Bistro,"Mo-Su 08:00-14:30, 17:00-22:00",restaurant,,,,,,,,POINT (-73.5397202 45.5529)
Flyjin Café,Mo-Fr 08:00-18:00; Sa 10:00-18:00,cafe,,,,,,,,POINT (-73.5565371 45.5016976)
La Champagnerie,Tu-Su 17:00-03:00; Mo off,bar,,,,,,,,POINT (-73.5518847 45.5091361)
Dollarama,Mo-Fr 09:00-21:00; Sa-Su 09:00-17:00,,,variety_store,,,,,,POINT (-73.8205773 45.461858)
Les Co'Pains d'abord,"Mo-Sa 07:00-19:00, 09:00-18:00; Su 08:00-18:00",,,bakery,,,,,,POINT (-73.5776831 45.5221597)
Crèmerie Mix,"12:00-22:30 ""summer""",cafe,,,,,,,,POINT (-73.5385471 45.5829161)
Best Buy,Mo-Fr 10:00-21:00; Sa 09:00-20:00; Su 10:00-18:00,,,electronics,,,,,,POINT (-73.5680148 45.5048298)
Saint-Houblon,Mo-Su 10:00-03:00,,,beverages,,,,,,POINT (-73.5622352 45.5146655)
F.Mateo Auto,Mo-Sa 08:00-18:00,,,car_repair,,,,,,POINT (-73.6102322 45.4703171)
Brochu Mechanique,Mo-Fr 07:00-18:00; Sa 08:00-13:00,,,car_repair,,,,,,POINT (-73.7084641 45.5602573)
l'alchimiste en herbe herboristerie,Mo-We 10:00-18:00; Fr 10:00-19:00; Th 10:00-20:00; Sa 10:00-17:00; Su 11:00-17:00,pharmacy,,,,,,,,POINT (-73.5838103 45.5245463)
Restaurant Brisket Montreal &Salon Krausmann,Mo-Sa 11:00-20:00; Su 11:00-15:00,restaurant,,,,,,,,POINT (-73.5651093 45.5027792)
Developpemets Trian,09:00 to 17:00,,,,,,,,,POINT (-73.579317 45.5868134)
Chez Dex,Mo-Fr 10:00-22:00; Sa-Su 09:00-17:00,,,car_repair,,,,,,POINT (-73.6945056 45.7410118)
Hippi Poutine,Su-We 11:30-22:30; Th 11:30-23:00; Fr-Sa 11:30-24:00,cafe,,,,,,,,POINT (-73.56883240000001 45.5173766)
AMT - Stationnement Chevrier,05:00-02:00,charging_station,,,,,,,,POINT (-73.4430749 45.4575938)
AMT - Stationnement Chevrier,05:00-02:00,charging_station,,,,,,,,POINT (-73.4431012 45.4575735)
Rona Brossard,24/7,charging_station,,,,,,,,POINT (-73.4398518 45.4385324)
Rona Brossard,24/7,charging_station,,,,,,,,POINT (-73.43987129999999 45.4385206)
Walmart,+1 450-654-8886,,,supermarket,,,,,,POINT (-73.4570877 45.7438822)
Addison,Lundi au mercredi 8h30 à 18h00 Jeudi et vendredi 8h30 à 21h00 Samedi 9h00 à 17h00 Dimanche 10h00 à 17h00,,,electronics,,,,,,POINT (-73.7298031 45.5645405)
Addison Electronique,"Mo-We 08:30-17:30; Th,Fr 08:30-20:00; Sa 09:00-17:00; Su 10:00-17:00",,,electronics,,,,,,POINT (-73.9234091 45.5681165)
Globe Location Autos & Camions,Mo-Fr 07:00-17:00; Sa 08:00-12:00,car_rental,,,,,,,,POINT (-73.5732502 45.3891436)
Bagus,"Mo-We 12:00-18:00, Th,Fr 12:00-20:00; Sa 10:30-17:00; Su 12:00-17:00",,,jewelry,,,,,,POINT (-73.58091330000001 45.5259614)
Entrepôt Bruffo,"We-Fr 18:00-23:00; Sa,Su 16:00-19:00",,,clothes,,,,,,POINT (-73.5810384 45.5258412)
Soupesoup,"Mo-Sa 10:00-21:00, Su 10:00-16:00",restaurant,,,,,,,,POINT (-73.5806687 45.5261782)
Retromania,"Mo-We 12:00-18:00; Th,Fr 11:00-20:00; Sa 11:00-20:00; Su 12:00-17:00",,,clothes,,,,,,POINT (-73.58094149999999 45.525898)
Curry Mahal,Mo-We 11:00-22:00; Th-Sa 11:00-21:00; Su 15:00-22:00,restaurant,,,,,,,,POINT (-73.5765198 45.5155387)
Clinique vétérinaire,Mo-Fr 09:00-21:00; Sa-Su 09:00-17:00,veterinary,,,,,,,,POINT (-73.5624227 45.5213425)
Éco-quartier,"Mo 12:00-17:00, Tu-Th 10:00-18:00, Fr 10:00-16:00",community_centre,,,,,,,,POINT (-73.56277969999999 45.5228293)
Salle d'entraînement de l'Association sportive et communautaire du Centre-Sud,"Mo-Fr 06:00-21:00, Sa-Su 08:00-19:00",,,,,fitness_centre,,,,POINT (-73.562849 45.522859)
L'Euguélionne,Mo off; Tu 10:00-18:00; We 10:00-20:00; Th-Fr 10:00-21:00; Sa-Su 11:00-18:00,,,books,,,,,,POINT (-73.55637230000001 45.5189691)
Biciborne,24/7,bicycle_repair_station,,bicycle,,,,,,POINT (-73.5729537 45.5271527)
Biciborne,24/7,bicycle_repair_station,,bicycle,,,,,,POINT (-73.611768 45.695037)
Tim Hortons,24/7,cafe,,,,,,,,POINT (-73.5732009 45.5049966)
Biciborne,24/7,bicycle_repair_station,,bicycle,,,,,,POINT (-73.55520199999999 45.7021999)
La Cloche à Fromage,Mo-Th 10:00-19:00; Fr 10:00-21:00; Sa 10:00-18:00,restaurant,,,,,,,,POINT (-73.5639841 45.5432526)
VU Optique Avant-Gardiste,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa 09:30-17:00,,,optician,,,,,,POINT (-73.5700109 45.5970054)
Chez Hailar,Su-Th 11:00-23:00; Fr-Sa 11:00-01:00,restaurant,,,,,,,,POINT (-73.5817445 45.4962601)
Restaurant Nilufar,Mo-Sa 10:00-20:00,restaurant,,,,,,,,POINT (-73.5808713 45.4926255)
La folie du Koshary,Tu-Th 17:00-22:00; Fr-Sa 12:00-21:00; Su 15:00-21:00,restaurant,,,,,,,,POINT (-73.5796685 45.494988)
Herzl Family Practice Centre,Mo-Fr 08:30-20:30; Sa-Su 09:00-17:00,doctors,,,,,,,,POINT (-73.630022 45.4996868)
aka-Fuji,Tu-Sa 17:00-20:30,restaurant,,,,,,,,POINT (-73.5665884 45.465269)
F.X. Ponton,Mo-Fr 08:00-17:00,,,,,,,electrician,,POINT (-73.56668790000001 45.464396)
CSAI Centre social d'aide aux immigrants,Mo-Fr 08:30-16:30,social_facility,,,,,,,,POINT (-73.5665102 45.4660451)
Bronzage Verdun,"Mo-Fr 10:00-20:00; Sa,Su 10:30-17:00",,,,,tanning_salon,,,,POINT (-73.5665058 45.4662886)
Atelier Wellington,"Tu,We 10:00-18:00; Th,Fr 10:00-20:00; Sa 09:00-17:00; Su 11:00-17:00",,,bicycle,,,,,,POINT (-73.56690089999999 45.462257)
Salon Jean-Pierre,"Tu,We 08:30-17:00; Th,Fr 08:30-19:00; Sa 08:00-14:00",,,hairdresser,,,,,,POINT (-73.5667899 45.4673246)
Marché Jasmin,Mo-Su 09:00-20:00,,,convenience,,,,,,POINT (-73.5673626 45.4608252)
Aeroportvoyage.com,"Mo-We 09:30-17:30; Th,Fr 09:30-20:00; Sa 10:00-16:00",,,travel_agency,,,,,,POINT (-73.5668721 45.4661563)
Cycles Campus Verdun,Mo-Tu 10:00-19:00; Th-Fr 08:00-20:00; Sa 09:00-17:00; Su 11:00-17:00,,,bicycle,,,,,,POINT (-73.56698830000001 45.4647849)
Lesters,"Mo-Su 11:00-20:00; Th,Fr 13:00-21:00",fast_food,,,,,,,,POINT (-73.5667887 45.4672566)
Maçonnerie Gratton,Mo-Th 08:00-17:00; Fr 08:00-15:00,,,,,,,mason,,POINT (-73.5668404 45.4666091)
Uniprix,"Mo-Fr 09:00-22:00, Sa 09:00-21:00, Su 10:00-21:00",pharmacy,,,pharmacy,,,,,POINT (-73.56750409999999 45.4594809)
Hongmere,"Tu,We 11:00-21:30; Th,Fr 11:00-22:00; Sa,Su 12:00-22:00",restaurant,,,,,,,,POINT (-73.5669149 45.4658598)
Jeans Jeanex,"Mo-Sa 10:00-17:00; Th,Fr 10:00-19:30; Su 12:00-17:00",,,clothes,,,,,,POINT (-73.5669686 45.4650267)
Le chrysanthème,"Mo-We 09:00-18:00; Th,Fr 09:00-20:00; Sa 09:00-17:00; Su 10:00-17:00",,,florist,,,,,,POINT (-73.5669037 45.4660064)
Game zone DVD,Mo-Su 10:00-24:00,,,video_games,,,,,,POINT (-73.5668124 45.466791)
Carrefour jeunesse emploi,"Mo-Fr 09:00-12:00,13:00-16:30; Tu 09:00-12:00,13:00-20:00",,,,,,,,,POINT (-73.567123 45.4637475)
Electro tel,"Mo-We 10:00-18:00; Th,Fr 10:00-20:00; Sa 09:00-17:00; Su 10:00-17:00",,,electronics,,,,,,POINT (-73.56696719999999 45.4651823)
Tabagie Wellington,Mo-Fr 08:30-21:00; Sa 09:00-21:00; Su 09:00-20:00,,,tobacco,,,,,,POINT (-73.56692459999999 45.4657811)
,"Mo-We 07:00-20:00; Th,Fr 07:00-21:00; Sa 08:00-20:00; Su 09:00-19:00",,,tobacco,,,,,,POINT (-73.56696169999999 45.4615051)
Pizza Pizza,"Mo-Fr 00:00-01:00,11:00-24:00; Sa,Su 00:00-03:00,11:00-24:00",fast_food,,,,,,,,POINT (-73.56718600000001 45.4628877)
Chez Robin,Mo-Su 08:00-21:00,,,convenience,,,,,,POINT (-73.56693300000001 45.4656244)
Ordinateurs mtl,"Mo-Th 10:30-18:30; Fr,Sa 10:30-17:00",,,computer,,,,,,POINT (-73.5668719 45.4662123)
Le choix de Lolita,"Tu,We 12:00-18:00; Th,Fr 12:00-21:00; Sa 12:00-17:00",,,clothes,,,,,,POINT (-73.5668886 45.4660478)
Koodo,"Mo-We 10:00-18:00; Th,Fr 10:00-21:00; Sa,Su 10:00-17:00",,,mobile_phone,,,,,,POINT (-73.5669595 45.4613316)
Jeux face à face,"Mo-Fr 11:00-21:00, Sa,Su 10:00-17:00",,,games,,,,,,POINT (-73.56749019999999 45.459676)
Army Globe Surplus d'armée,"Mo, Tu 10:00-18:00; Tu-Th 10:00-21:00; Sa 10:00-17:00; Su 11:00-17:00",,,fishing,,,,,,POINT (-73.5670564 45.4642952)
Jaymart,"Mo-We 10:00-18:00; Th,Fr 10:00-20:30; Sa 10:00-17:00; Su 11:00-17:00",,,gift,,,,,,POINT (-73.567086 45.4640091)
intelligent design and construction inc,Mo-Fr 09:00-17:00,,,,,,,,,POINT (-73.56696479999999 45.4665519)
Les Street Monkeys,"Tu, We 17:30-22:00; We 17:30-23:00; Fr, Sa 17:30-00:00; Su 11:00-14:30, 17:30-22:00",restaurant,,,,,,,,POINT (-73.56673809999999 45.4677392)
Le brumaire,"Mo-We 10:00-20:00; Th,Fr 10:00-21:00; Sa,Su 10:00-17:00",,,e-cigarette,,,,,,POINT (-73.56696169999999 45.4614601)
Sésame,"Mo-We 11:00-22:00; Th,Fr 11:00-23:00; Sa 12:00-23:00, Su 12:00-22:00",restaurant,,,,,,,,POINT (-73.566322 45.5067868)
Globe Location Autos & Camions,Mo-Fr 07:00-17:00; Sa 08:00-12:00; Su off,car_rental,,,,,,,,POINT (-73.9647152 45.3873744)
Pneus prestige,Mo-Fr 08:00-17:00,,,car_repair,,,,,,POINT (-73.57516889999999 45.465553)
La souricière,"Mo-Sa 08:00-23:00, Su 09:00-23:00",,,convenience,,,,,,POINT (-73.5757768 45.4630588)
Dépanneur Mari-Clo,Mo-Su 07:00-23:00,,,convenience,,,,,,POINT (-73.57601529999999 45.4612873)
Coq-o-bec,"Mo-We 11:00-22:00, Th-Sa 11:00-23:00, Su 11:00-22:00",fast_food,,,,,,,,POINT (-73.575947 45.4621397)
Centre local d'emploi Verdun,"Mo-Tu 08:30-16:30, We 10:00-16:30, Th-Fr 08:30-16:30",,,,,,,,,POINT (-73.5777456 45.4625533)
Centre de formation professionnelle de Verdun,Mo-Fr 07:30-15:30 secrétariat,school,,,,,,,,POINT (-73.5786792 45.4621303)
Clinique médicale du Sud-Ouest,"Mo-Fr 09:00-20:30; Sa, Su 09:00-20:00",clinic,,,clinic,,,,,POINT (-73.57615850000001 45.460073)
Académie l'Escargot Futé,Mo-Fr 07:00-18:00,childcare,,,,,,,,POINT (-73.6226072 45.5418629)
Saaq,Mo-Fr 08:30-16:30,,,,,,,,,POINT (-73.5695815 45.5919267)
Fromagerie Hamel,"Mo-Tu 10:00-18:30,We 09:00-19:00;Th-Fr 09:00-20:00;Sa-Su 09:00-18:00",,,cheese,,,,,,POINT (-73.57237120000001 45.5354766)
SUBWAY,Mo-Su 7:00-22:30,restaurant,,,,,,,,POINT (-73.6085154 45.5459954)
La Belle Tonkinoise,Mo-Su 11:00-21:00,restaurant,,,,,,,,POINT (-73.6086766 45.5457298)
Les jardins de floralies,Mo-Fr 09:00-18:00,,attraction,,,,,,,POINT (-73.52792100000001 45.5059963)
Anciens ateliers Angus,Mo-Su 08:00-21:00,,attraction,,,,,,,POINT (-73.56180430000001 45.5440869)
Spot surf intérieur - Maeva surf,Tu-Su 11:00-19:00,water_point,,,,,,,,POINT (-73.7477131 45.5608017)
Bota Bota,Mo-Su 09:00-23:00,,,massage,,,,,,POINT (-73.5511908 45.4995856)
Le petit DEP,Mo-Su 08:00-23:00,,,gift,,,,,,POINT (-73.5551952 45.5030568)
Boris Bistrot,Mo-Su 12:00-23:00,pub,,,,,,,,POINT (-73.5586362 45.5009608)
Chez bong,Mo-Sa 12:00-21:00,restaurant,,,,,,,,POINT (-73.5597631 45.5081005)
Le bar playground- billard ping pong,Mo-Su 17:00-03:00,bar,,,,,,,,POINT (-73.5655017 45.4918979)
LOV,"Su 10:00-22:00; Sa 10:00-23:00; Mo-We 11:30-22:00; Th, Fr 11:30-23:00",restaurant,,,,,,,,POINT (-73.5590248 45.5006566)
La graine brûlée,Mo-Su 07:00-23:00,cafe,,,,,,,,POINT (-73.5579228 45.5167337)
Arte e farina,Mo-Su 09:00-18:00,,,bakery,,,,,,POINT (-73.5619002 45.5216699)
Rage- lancer de haches,Mo-Su 10:00-23:30,,,,,,,,,POINT (-73.5572806 45.5174556)
Hakata Ramen,"Mo-Fr 11:00-15:00, 17:00-23:00; Sa-Su 17:00-23:00",restaurant,,,,,,,,POINT (-73.57223399999999 45.498555)
L'in-time,"We-Fr 11:00-14:00, 17:00-22:00; Tu, Sa 17:00-22:00",restaurant,,,,,,,,POINT (-73.5675969 45.4581673)
Dépanneur McGill,24/7,,,convenience,,,,,,POINT (-73.57318619999999 45.5050191)
Poissonnerie Fou des Îles,"Mo-We 11:00-18:30; Th,Fr 11:00-19:30; Sa,Su 10:00-17:00",,,seafood,,,,,,POINT (-73.6002781 45.5395068)
Drogheria Fine,Mo-Su 08:00-21:00,fast_food,,,,,,,,POINT (-73.5951713 45.5229649)
Kem CoBa,Tu-Su 12:00-20:00,ice_cream,,,,,,,,POINT (-73.595097 45.5230368)
Thaï Express,Mo-Su 11:00-21:00,fast_food,,,,,,,,POINT (-73.7873871 45.5894503)
Charles Vayssié,Mo-Fr 10:00-19:00,,,,,,,,,POINT (-73.638139 45.4980686)
La Finca,Mo-Fr 07:00-18:00; Sa-Su 09:00-17:00,cafe,,,,,,,,POINT (-73.5636962 45.504883)
Tim Hortons,24/7,cafe,,,,,,,,POINT (-73.5658956 45.5002136)
Dirty Dogs,"Mo-We 11:30-22:00, Th-Fr 11:30- 16:00, Sa 12:00-16:00, Su 12:00-22:00",restaurant,,,,,,,,POINT (-73.5740062 45.514715)
Urgence - Hôpital Anna-Laberge,24/7,clinic,,,,,,,,POINT (-73.7641867 45.346401)
allô!moncoco,"Mo-Fr 06:00-16:00; Sa, Su 06:00-17:00",restaurant,,,,,,,,POINT (-73.5628974 45.5106627)
Western Union,Mo-Fr 09:00-21:00; Sa-Su 10:00-18:00,bank,,,,,,,,POINT (-73.56984559999999 45.5029677)
Notre-Boeuf-de-Grâce,"Mo-We 11:00-23:00, Th-Fr 11:00-24:00, Sa 10:00-24:00, Su 10:00-23:00",restaurant,,,,,,,,POINT (-73.5776559 45.4976126)
Les Rangements Idées-Range Inc.,Mo-Th 08:00-17:00; Fr 09:00-17:00,,,furniture,,,,,,POINT (-73.6851145 45.5634333)
A&W,24/7,fast_food,,,,,,,,POINT (-73.5753201 45.5323386)
Rona,Mo-We 09:00-18:00; Th-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,,,doityourself,,,,,,POINT (-73.5769525 45.5233197)
Marcil,Mo-Fr 08:00-21:00; sa-su 08:00-17:00,,,hardware,,,,,,POINT (-73.7543644 45.3583638)
Quincaillerie Dante,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa 09:00-17:00; Su 11:00-17:00,,,hardware,,,,,,POINT (-73.6133426 45.5334153)
Milano,Mo-We 08:00-18:00; Th-Fr 08:00-21:00; Sa-Su 08:00-17:00,,,supermarket,,,,,,POINT (-73.6150197 45.533149)
Poste Canada,"Mo-We 8:00-20:00, Th-Fr 8:00-21:00 Sa-Su 9:00-16:00",post_office,,,,,,,,POINT (-73.62798429999999 45.5448204)
G Mobile,"Mo-We 10:00-18:00, Th-Fr 10:00-20:00, Sa 10:00-17:00",,,,,,,electronics_repair,,POINT (-73.6280852 45.5446861)
SAQ,Mo-Su 11:00-22:00,,,alcohol,,,,,,POINT (-73.5800942 45.5268742)
Sable d'or,24/7,cafe,,,,,,,,POINT (-73.5920699 45.5655998)
Moustache Café,Mo-Su 08:00-18:00,cafe,,,,,,,,POINT (-73.60834869999999 45.530581)
September Café,Mo-We 07:00-17:00; Th-Fr 07:00-20:00; Su 08:00-17:00; Sa 08:00-20:00,cafe,,,,,,,,POINT (-73.5749373 45.483241)
Le P'tit Rustik,We 11:30-19:00; Th-Sa 11:30-20:30; Su 11:00-15:00,restaurant,,,,,,,,POINT (-73.57650959999999 45.5203001)
Terre à soi,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa-Su 10:00-17:00,,,supermarket,,,,,,POINT (-73.54463730000001 45.5449553)
Mobilier 3690,Mo-We 09:30-17:30; Th 09:30-20:30; Sa 09:30-16:30,,,furniture,,,,,,POINT (-73.5439963 45.5461391)
Econofitness,Mo-Fr 06:00-23:00; Sa-Su 08:00-20:00,,,,,fitness_centre,,,,POINT (-73.5455056 45.5436588)
Comptant,Mo-Fr 09:00-21:00; Sa 09:00-17:00; Sa 10:00-17:00,,,pawnbroker,,,,,,POINT (-73.54393109999999 45.5462532)
Librairie Z,Mo 12:00-17:00; Tu 12:00-18:00; We 12:00-19:00; Th-Fr 12:00-21:00; Sa 12:00-18:00; Su 12:00-17:00,,,books,,,,,,POINT (-73.545748 45.5432329)
Subway,Mo-We 07:00-23:00; Th-Fr 07:00-23:30; Sa 08:00-23:30; Su 09:00-23:00,fast_food,,,,,,,,POINT (-73.5455115 45.5442484)
Ongles populaires,Mo-We 09:30-18:00; Th-Fr 09:30-20:00; Sa 9:30-17:00,,,beauty,,,,,,POINT (-73.5455911 45.5441468)
Buanderie chez Lian,Mo-Fr 09:00-21:00; Sa-Su 09:00-20:00,,,laundry,,,,,,POINT (-73.54575389999999 45.5439078)
Ongles prestige,Mo-We 10:00-18:00; Th-Fr 10:00-20:00; Sa-Su 10:00-17:00,,,beauty,,,,,,POINT (-73.54499869999999 45.5450672)
Zamidoux,Mo-We 10:00-17:00; Th-We 10:00-18:00; Sa-Su 10:00-17:00,,,pet,,,,,,POINT (-73.54516270000001 45.5447864)
Sport Code,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa-Su 11:00-17:00,,,shoes,,,,,,POINT (-73.5447267 45.5455602)
Rona l'express,Mo-We 09:00-18:00; Th-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,,,hardware,,,,,,POINT (-73.5448403 45.5453125)
Tapis L. M.,Mo-Sa 10:30-17:00,,,carpet,,,,,,POINT (-73.5449694 45.5451191)
MultiMobile,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa 10:00-17:00,,,mobile_phone,,,,,,POINT (-73.5455414 45.5442019)
La Cannoise,Mo-We 08:30-21:00; Th-Fr 08:30-22:00; Sa 08:00-20:00; Su 09:00-18:00,,,bakery,,,,,,POINT (-73.5456255 45.5441061)
Cordonnerie Cyr,Mo-We 09:30-18:00; Th-Fr 09:30-21:00; Sa 10:00-17:00; Su 11:00-16:00,,,,,,,shoemaker,,POINT (-73.5459659 45.5435094)
Services Max,Mo-Fr 09:00-21:00; Sa-Su 10:00-17:00,,,pawnbroker,,,,,,POINT (-73.5444492 45.54605)
Banco,Mo-Fr 09:00-21:00; Sa-Su 10:00-17:00,,,pawnbroker,,,,,,POINT (-73.5447013 45.5456355)
Librairie du Vieux Bouc,Mo-We 11:00-18:00; Th-Fr 11:00-19:00; Sa-Su 11:00-17:00,,,books,,,,,,POINT (-73.5448256 45.5453774)
Prestige Jeans,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa 09:00-17:00; Su 12:00-17:00,,,clothes,,,,,,POINT (-73.54493359999999 45.545178)
Rox Lana,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa-Su 10:00-17:00,,,art,,,,,,POINT (-73.54609379999999 45.5432963)
Dépanneur populaire,Mo-Su 09:00-23:00,,,convenience,,,,,,POINT (-73.54639760000001 45.5428546)
Gestion Noben,Tu-Th 10:00-17:30,,,,,,,,,POINT (-73.5468438 45.5421085)
Antiquaire,Mo-Fr 11:00-17:00; Sa 10:30-16:30,,,antiques,,,,,,POINT (-73.54724830000001 45.5414718)
Domino's,Mo-Th 11:00-01:00; Fr-Sa 11:00-02:00; Su 11:00-01:00,fast_food,,,,,,,,POINT (-73.54629869999999 45.5424684)
Darling je t'aime,"Mo 11:00-16:00; Tu 17:00-22:00; We 11:00-22:00, We-Sa 17:00-23:00; Su 17:00-22:00",,,,,bowling_alley,10pin,,,POINT (-73.5461311 45.5427422)
Vaptronic,Mo-We 10:00-18:00; Th-Fr 10:00-20:00; Sa-Su 10:00-17:00,,,e-cigarette,,,,,,POINT (-73.54579440000001 45.5437972)
Sata Sushi,Tu-Su 16:00-22:00,restaurant,,,,,,,,POINT (-73.5464685 45.542724)
Rond point,"Mo-We 07:00-18:00; Th,Fr 07:00-21:00; Sa,Su 08:00-18:00",cafe,,,,,,,,POINT (-73.5473138 45.541407)
Exorciste,Mo-Su 14:00-20:00,,,tattoo,,,,,,POINT (-73.5469432 45.5419538)
L'atelier Tak,"Mo-Fr 09:00-19:00; Sa,Su 10:00-17:00",,,bicycle,,,,,,POINT (-73.5452643 45.5446888)
Boustan,Mo-Su 11:00-24:00,restaurant,,,,,,,,POINT (-73.5460729 45.5433273)
Tissus Hajaly,"Mo-We 09:30-18:00; Th,Fr 09:30-21:00; Sa 09:30-17:00; Su 11:00-17:00",,,fabric,,,,,,POINT (-73.5462678 45.5425195)
Brin de soleil,"Mo-We 08:00-21:00; Th,Fr 08:00-22:00; Sa 09:00-19:00; Su 10:00-18:00",,,beauty,,,,,,POINT (-73.54648280000001 45.5426859)
Optoplus,"Tu 09:00-17:30; We,Th 09:00-20:30; Fr 09:00-18:30; Sa 10:00-16:00",,,optician,,,,,,POINT (-73.546015 45.5434545)
Vapit,Mo-Fr 10:00-21:00; Sa-Su 10:00-17:00,,,e-cigarette,,,,,,POINT (-73.544557 45.5457967)
Ongles super,"Mo-We 09:30-17:45; Th,Fr 09:30-20:00; Sa 09:30-19:00",,,beauty,,,,,,POINT (-73.546144 45.5427209)
Sigtronique,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 12:00-16:00,,,,,,,electronics_repair,,POINT (-73.54454560000001 45.54586)
Rossy,Mo-We 09:30-18:00; Th-Fr 09:00-21:00; Sa 09:30-17:00; Su 11:00-17:00,,,variety_store,,,,,,POINT (-73.5453231 45.5445411)
Papeterie de l'est,Mo-We 08:30-18:00; Th-Fr 08:30-21:00; Sa 08:30-17:00; Su 09:30-17:00,,,stationery,,,,,,POINT (-73.5456734 45.5440426)
Enseignes la Fabric,"Mo-Fr 10:00-12:00, 13:00-17:00",,,,,,,sign_maker,,POINT (-73.5465334 45.5426229)
Salon Bérard,Tu-We 10:00-17:00; Th-Fr 10:00-18:00; Sa 09:00-15:00,,,hairdresser,,,,,,POINT (-73.5468269 45.5421322)
Comptant,Mo-Fr 10:00-21:00; Sa 10:00-17:00; Su 12:00-17:00,,,pawnbroker,,,,,,POINT (-73.5474624 45.5412136)
Extermination Mont-Royal,Mo-Fr 09:00-17:00,,,pest_control,,,,,,POINT (-73.5477475 45.5407823)
Electralex,Mo-We 09:00-18:00; Th-Fr 09:00-21:00; Sa-Su 10:00-18:30,,,bed,,,,,,POINT (-73.5464072 45.5422316)
Clinique dentaire Aoude,Mo-Fr 09:00-19:30; Sa 09:00-17:00,dentist,,,,,,,,POINT (-73.5460475 45.5428431)
Antidote,Mo-We 09:00-21:00; Th-Sa 09:00-23:00; Su 09:00-18:00,restaurant,,greengrocer,,,,,,POINT (-73.545773 45.5438445)
Orly Afrika,"Mo-Su 10:00-18:00; Th,Fr 10:00-20:00; Sa 10:00-17:00",,,hairdresser,,,,,,POINT (-73.5450498 45.5450249)
Bar des patriotes,"Mo-Fr 11:00-13:00,17:00-19:00",bar,,,,,,,,POINT (-73.5463412 45.5429257)
Tabagie dépanneur rétro,Mo-Sa 08:00-22:00; Su 09:00-21:00,,,convenience,,,,,,POINT (-73.5449916 45.5450927)
Café des Alizés,Mo-Fr 07:00-20:00; Sa 07:00-19:00; Su 08:00-19:00,cafe,,,,,,,,POINT (-73.54355099999999 45.5469108)
Le salon enchanthé,Mo-Su 10:00-18:00,cafe,,,,,,,,POINT (-73.5436323 45.5467776)
Boucherie Beau-Bien,Mo-We 08:00-19:00; Th-Fr 08:00-20:00; Sa 08:00-18:00; Su 08:00-17:00,,,butcher,,,,,,POINT (-73.54367310000001 45.5466806)
Le secret des Korrigans,Mo off; Tu-Fr 10:00-21:00; Sa-Su 11:00-17:00,,,games,,,,,,POINT (-73.5436539 45.5467311)
Howan Sushi,Mo-Fr 11:00-21:00; Sa 12:00-21:00; Su 12:00-20:00,restaurant,,,,,,,,POINT (-73.54359100000001 45.5468344)
La Source,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa-Su 10:00-17:00,,,electronics,,,,,,POINT (-73.5425221 45.5487731)
Aqu@net,Mo-Fr 09:00-21:00; Sa-Su 09:00-19:00,,,laundry,,,,,,POINT (-73.54159110000001 45.5500377)
Cheveux Mod,We-Sa 09:00-16:00,,,hairdresser,,,,,,POINT (-73.5400934 45.5523265)
Oscar,Mo-We 09:00-19:00; Th-Fr 09:00-21:00; Sa 09:00-17:30; Su 10:00-17:00,,,confectionery,,,,,,POINT (-73.5439581 45.5468566)
Rouge Désir,Mo-We 10:00-17:30; Th-Fr 10:00-20:00; Sa 10:00-17:00; Su 12:00-17:00,,,clothes,,,,,,POINT (-73.5441113 45.5465897)
Double Pizza,Tu-We 11:00-00:00; Th 11:00-01:00; Fr 11:00-02:00,restaurant,,,,,,,,POINT (-73.54288990000001 45.5483321)
Easyhome,Mo-We 10:00-19:00; Th-Fr 10:00-20:00; Sa 09:00-17:00,,,furniture,,,,,,POINT (-73.5426399 45.5487397)
Terasse Ontario,Mo-Fr 08:00-00:00; Sa 09:00-00:00; Su 10:00-22:00,bar,,,,,,,,POINT (-73.54185409999999 45.5496786)
Dépanneur,Mo-Sa 08:00-23:00; Su 09:00-23:00,,,convenience,,,,,,POINT (-73.5400523 45.5523603)
